rsn,address,bing_address,neighbourhood,apartment,property_type,year_built,year_registered,units,storeys,property_management_or_landlord,evaluation_completed_on,score,score_percent,score_bucket,score_colour,agi,date_agi_initiated,tdf,tdf_year,reduced_increase_by,eviction_hearing,hearings,geometry,tooltip
4154202,894 Eglinton Ave E,894 Eglinton Ave E,Leaside-Bennington,TRUE,Private,1954,2017,44,4,Royal Lepage Signature Realty,2019-12-09,80,80%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3634431, 43.7141529)",<b>894 Eglinton Ave E</b><br><b>Built</b>: 1954<br><b>Landlord/Management</b>: Royal Lepage Signature Realty<br><b>Units</b>: 44<br><b>RentSafeTO Evaluation</b>: 80%<br>
4154206,1911 Bayview Ave,1911 Bayview Ave,Leaside-Bennington,TRUE,Private,1911,2018,20,4,NA,2019-10-30,84,84%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.377546, 43.7159957)",<b>1911 Bayview Ave</b><br><b>Built</b>: 1911<br><b>Units</b>: 20<br><b>RentSafeTO Evaluation</b>: 84%<br>
4154694,569 Sheppard Ave W,569 Sheppard Ave W,Lansing-Westgate,TRUE,Private,1961,2017,144,13,Microbjo Properties,2019-11-18,80,80%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.436946, 43.7553)",<b>569 Sheppard Ave W</b><br><b>Built</b>: 1961<br><b>Landlord/Management</b>: Microbjo Properties<br><b>Units</b>: 144<br><b>RentSafeTO Evaluation</b>: 80%<br><b>Eviction Hearings</b>: 1<br>
4154701,325 Bogert Ave,325 Bogert Ave,Lansing-Westgate,TRUE,Private,1967,2017,418,6,G & S Regal Management Limited,2019-11-18,69,69%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,5,"c(-79.426978, 43.756837)",<b>325 Bogert Ave</b><br><b>Built</b>: 1967<br><b>Landlord/Management</b>: G & S Regal Management Limited<br><b>Units</b>: 418<br><b>RentSafeTO Evaluation</b>: 69%<br><b>Eviction Hearings</b>: 5<br>
4155198,898 Jane St,898 Jane St,Rockcliffe-Smythe,TRUE,Private,1960,2017,63,8,Cando Apartments Ltd.,2019-11-06,81,81%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.4967269, 43.6776559)",<b>898 Jane St</b><br><b>Built</b>: 1960<br><b>Landlord/Management</b>: Cando Apartments Ltd.<br><b>Units</b>: 63<br><b>RentSafeTO Evaluation</b>: 81%<br><b>Eviction Hearings</b>: 1<br>
4155205,4029 Old Dundas St,4029 Old Dundas St,Lambton Baby Point,TRUE,Private,1959,2017,29,8,NA,2021-04-21,56,56%,60% and under,#dd1c77,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.5021357, 43.663973)",<b>4029 Old Dundas St</b><br><b>Built</b>: 1959<br><b>Units</b>: 29<br><b>RentSafeTO Evaluation</b>: 56%<br>
4155215,100 Browns Line,100 Browns Line,Alderwood,TRUE,Private,1954,2017,22,3,NA,2020-11-05,84,84%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.5429726, 43.5952222)",<b>100 Browns Line</b><br><b>Built</b>: 1954<br><b>Units</b>: 22<br><b>RentSafeTO Evaluation</b>: 84%<br>
4155216,765 Browns Line,765 Browns Line,Alderwood,TRUE,Private,1962,2017,24,5,Clv Group,2019-10-30,76,76%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.547389, 43.6083373)",<b>765 Browns Line</b><br><b>Built</b>: 1962<br><b>Landlord/Management</b>: Clv Group<br><b>Units</b>: 24<br><b>RentSafeTO Evaluation</b>: 76%<br>
4155223,810 Royal York Rd,810 Royal York Rd,Stonegate-Queensway,TRUE,Private,1960,2017,60,6,Imperra General Managment,2020-11-05,86,86%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.5090275, 43.6395643)",<b>810 Royal York Rd</b><br><b>Built</b>: 1960<br><b>Landlord/Management</b>: Imperra General Managment<br><b>Units</b>: 60<br><b>RentSafeTO Evaluation</b>: 86%<br>
4155229,5 Kinsdale Blvd,5 Kinsdale Blvd,Stonegate-Queensway,TRUE,Private,1956,2017,22,4,NA,2021-05-03,74,74%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4912457, 43.6353559)",<b>5 Kinsdale Blvd</b><br><b>Built</b>: 1956<br><b>Units</b>: 22<br><b>RentSafeTO Evaluation</b>: 74%<br>
4155764,1 A Birchlea Ave,1 Birchlea Ave,Long Branch,TRUE,Private,1955,2019,21,3,Shahukar Properties Corp,2021-05-05,37,37%,60% and under,#dd1c77,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.5276951, 43.5927156)",<b>1 A Birchlea Ave</b><br><b>Built</b>: 1955<br><b>Landlord/Management</b>: Shahukar Properties Corp<br><b>Units</b>: 21<br><b>RentSafeTO Evaluation</b>: 37%<br><b>Eviction Hearings</b>: 1<br>
4155800,140 The Esplanade,140 The Esplanade,Waterfront Communities-The Island,TRUE,TCHC,1993,2017,102,7,TCH,2021-04-28,66,66%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.370252, 43.648539)",<b>140 The Esplanade</b><br><b>Built</b>: 1993<br><b>Landlord/Management</b>: TCH<br><b>Units</b>: 102<br><b>RentSafeTO Evaluation</b>: 66%<br>
4168793,25 Canyon Ave,25 Canyon Ave,Bathurst Manor,TRUE,Private,1962,2017,117,21,Greenwin Inc.,2020-10-27,87,87%,81% to 100%,#e7e1ef,TRUE,2018-02-05,FALSE,NA,NA,FALSE,NA,"c(-79.4370844, 43.7572584)",<b>25 Canyon Ave</b><br><b>Built</b>: 1962<br><b>Landlord/Management</b>: Greenwin Inc.<br><b>Units</b>: 117<br><b>RentSafeTO Evaluation</b>: 87%<br><b>AGI Application</b>: 2018-02-05<br>
4168942,345 Dufferin St,345 Dufferin St,South Parkdale,TRUE,Social Housing,1984,2017,200,8,Dms Property Management Ltd.,2019-11-25,81,81%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.427697, 43.641067)",<b>345 Dufferin St</b><br><b>Built</b>: 1984<br><b>Landlord/Management</b>: Dms Property Management Ltd.<br><b>Units</b>: 200<br><b>RentSafeTO Evaluation</b>: 81%<br>
4169173,1685 Eglinton Ave W,1685 Eglinton Ave W,Oakwood Village,TRUE,Private,1960,2017,38,3,Shelborne Capital Corp,2019-02-19,77,77%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.446375, 43.6962141)",<b>1685 Eglinton Ave W</b><br><b>Built</b>: 1960<br><b>Landlord/Management</b>: Shelborne Capital Corp<br><b>Units</b>: 38<br><b>RentSafeTO Evaluation</b>: 77%<br>
4169241,42 Vaughan Rd,42 Vaughan Rd,Wychwood,TRUE,Private,1928,2017,15,3,NA,2020-12-11,77,77%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4195012, 43.6821918)",<b>42 Vaughan Rd</b><br><b>Built</b>: 1928<br><b>Units</b>: 15<br><b>RentSafeTO Evaluation</b>: 77%<br>
4152556,2406 Queen St E,2406 Queen St E,Birchcliffe-Cliffside,TRUE,Private,1937,2017,13,4,Greenwin Corp.,2019-11-19,81,81%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.2796016, 43.6747767)",<b>2406 Queen St E</b><br><b>Built</b>: 1937<br><b>Landlord/Management</b>: Greenwin Corp.<br><b>Units</b>: 13<br><b>RentSafeTO Evaluation</b>: 81%<br>
4152562,3010 Queen St E,3010 Queen St E,Birchcliffe-Cliffside,TRUE,Private,1932,2018,16,4,Akelius Canada Ltd,2020-12-19,92,92%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.2772199, 43.6754819)",<b>3010 Queen St E</b><br><b>Built</b>: 1932<br><b>Landlord/Management</b>: Akelius Canada Ltd<br><b>Units</b>: 16<br><b>RentSafeTO Evaluation</b>: 92%<br>
4152571,1200 Kingston Rd,1200 Kingston Rd,Birchcliffe-Cliffside,TRUE,Private,1956,2017,61,5,Greenwin Corp.,2019-11-19,89,89%,81% to 100%,#e7e1ef,TRUE,2020-06-29,FALSE,NA,NA,FALSE,NA,"c(-79.28011, 43.682208)",<b>1200 Kingston Rd</b><br><b>Built</b>: 1956<br><b>Landlord/Management</b>: Greenwin Corp.<br><b>Units</b>: 61<br><b>RentSafeTO Evaluation</b>: 89%<br><b>AGI Application</b>: 2020-06-29<br>
4152575,1420 Kingston Rd,1420 Kingston Rd,Birchcliffe-Cliffside,TRUE,Private,1955,2018,36,4,Akelius Canada Ltd,2019-11-19,87,87%,81% to 100%,#e7e1ef,TRUE,2017-03-17,FALSE,NA,NA,TRUE,1,"c(-79.2720042, 43.6874645)",<b>1420 Kingston Rd</b><br><b>Built</b>: 1955<br><b>Landlord/Management</b>: Akelius Canada Ltd<br><b>Units</b>: 36<br><b>RentSafeTO Evaluation</b>: 87%<br><b>Eviction Hearings</b>: 1<br><b>AGI Application</b>: 2017-03-17<br>
4153376,350 Queens Quay W,350 Queens Quay W,Waterfront Communities-The Island,TRUE,Private,1987,2017,228,19,Coal Harbour Properties Llp,2019-11-25,88,88%,81% to 100%,#e7e1ef,TRUE,2016-06-23,FALSE,NA,NA,TRUE,7,"c(-79.389103, 43.638659)",<b>350 Queens Quay W</b><br><b>Built</b>: 1987<br><b>Landlord/Management</b>: Coal Harbour Properties Llp<br><b>Units</b>: 228<br><b>RentSafeTO Evaluation</b>: 88%<br><b>Eviction Hearings</b>: 7<br><b>AGI Application</b>: 2016-06-23<br>
4153396,60 Richmond St E,60 Richmond St E,Church-Yonge Corridor,TRUE,TCHC,1990,2017,50,8,NA,2021-04-28,83,83%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.376174, 43.652409)",<b>60 Richmond St E</b><br><b>Built</b>: 1990<br><b>Units</b>: 50<br><b>RentSafeTO Evaluation</b>: 83%<br>
4153926,125 Lawton Blvd,125 Lawton Blvd,Yonge-St.Clair,TRUE,Private,1962,2018,122,12,Timbercreek Communities,2019-11-28,75,75%,61% to 80%,#c994c7,TRUE,2021-01-13,FALSE,NA,NA,FALSE,NA,"c(-79.3968661, 43.6945769)",<b>125 Lawton Blvd</b><br><b>Built</b>: 1962<br><b>Landlord/Management</b>: Timbercreek Communities<br><b>Units</b>: 122<br><b>RentSafeTO Evaluation</b>: 75%<br><b>AGI Application</b>: 2021-01-13<br>
4153946,779 Eglinton Ave W,779 Eglinton Ave W,Forest Hill South,TRUE,Private,1930,2017,17,3,Imtradex Corp,2020-12-04,80,80%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4241108, 43.7010021)",<b>779 Eglinton Ave W</b><br><b>Built</b>: 1930<br><b>Landlord/Management</b>: Imtradex Corp<br><b>Units</b>: 17<br><b>RentSafeTO Evaluation</b>: 80%<br>
4153401,168 John St,168 John St,Kensington-Chinatown,TRUE,TCHC,1979,2017,180,7,NA,2019-11-25,80,80%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.391341, 43.649979)",<b>168 John St</b><br><b>Built</b>: 1979<br><b>Units</b>: 180<br><b>RentSafeTO Evaluation</b>: 80%<br>
4153406,15 Larch St,15 Larch St,Kensington-Chinatown,TRUE,TCHC,1993,2017,20,3,TCH,2019-12-11,85,85%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3964812, 43.6526657)",<b>15 Larch St</b><br><b>Built</b>: 1993<br><b>Landlord/Management</b>: TCH<br><b>Units</b>: 20<br><b>RentSafeTO Evaluation</b>: 85%<br>
4153409,164 Grange Ave,164 Grange Ave,Kensington-Chinatown,TRUE,Private,1970,2017,24,3,Grange Apartments Inc.,2019-03-19,53,53%,60% and under,#dd1c77,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4011646, 43.6513797)",<b>164 Grange Ave</b><br><b>Built</b>: 1970<br><b>Landlord/Management</b>: Grange Apartments Inc.<br><b>Units</b>: 24<br><b>RentSafeTO Evaluation</b>: 53%<br>
4153421,160 Huron St,160 Huron St,Kensington-Chinatown,TRUE,Private,1805,2017,69,5,Akelius Canada Ltd,2020-11-27,67,67%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,2,"c(-79.398004, 43.657049)",<b>160 Huron St</b><br><b>Built</b>: 1805<br><b>Landlord/Management</b>: Akelius Canada Ltd<br><b>Units</b>: 69<br><b>RentSafeTO Evaluation</b>: 67%<br><b>Eviction Hearings</b>: 2<br>
4153954,21 Mayfair Ave,21 Mayfair Ave,Forest Hill North,TRUE,Private,1962,2017,138,11,NA,2019-11-21,91,91%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4222134, 43.7037125)",<b>21 Mayfair Ave</b><br><b>Built</b>: 1962<br><b>Units</b>: 138<br><b>RentSafeTO Evaluation</b>: 91%<br>
4153956,20 Shallmar Blvd,20 Shallmar Blvd,Forest Hill North,TRUE,Private,1963,2017,155,11,Capreit,2019-11-21,93,93%,81% to 100%,#e7e1ef,TRUE,2017-08-29,FALSE,NA,NA,FALSE,NA,"c(-79.424726, 43.704523)",<b>20 Shallmar Blvd</b><br><b>Built</b>: 1963<br><b>Landlord/Management</b>: Capreit<br><b>Units</b>: 155<br><b>RentSafeTO Evaluation</b>: 93%<br><b>AGI Application</b>: 2017-08-29<br>
4153958,15 Shallmar Blvd,15 Shallmar Blvd,Forest Hill North,TRUE,Private,1962,2017,78,7,Fides Real Estate Limited,2020-11-01,83,83%,81% to 100%,#e7e1ef,TRUE,2018-04-12,FALSE,NA,NA,FALSE,NA,"c(-79.4244784, 43.7039577)",<b>15 Shallmar Blvd</b><br><b>Built</b>: 1962<br><b>Landlord/Management</b>: Fides Real Estate Limited<br><b>Units</b>: 78<br><b>RentSafeTO Evaluation</b>: 83%<br><b>AGI Application</b>: 2018-04-12<br>
4153959,11 Shallmar Blvd,11 Shallmar Blvd,Forest Hill North,TRUE,Private,1960,2017,78,7,Beaux Properties Management,2019-11-21,88,88%,81% to 100%,#e7e1ef,TRUE,2019-05-13,FALSE,NA,NA,FALSE,NA,"c(-79.4231677, 43.7037381)",<b>11 Shallmar Blvd</b><br><b>Built</b>: 1960<br><b>Landlord/Management</b>: Beaux Properties Management<br><b>Units</b>: 78<br><b>RentSafeTO Evaluation</b>: 88%<br><b>AGI Application</b>: 2019-05-13<br>
4153960,630 Vesta Dr,630 Vesta Dr,Forest Hill North,TRUE,Private,1959,2018,70,7,Timbercreek Communities,2019-11-20,83,83%,81% to 100%,#e7e1ef,TRUE,2021-04-27,FALSE,NA,NA,FALSE,NA,"c(-79.425421, 43.7030052)",<b>630 Vesta Dr</b><br><b>Built</b>: 1959<br><b>Landlord/Management</b>: Timbercreek Communities<br><b>Units</b>: 70<br><b>RentSafeTO Evaluation</b>: 83%<br><b>AGI Application</b>: 2021-04-27<br>
4153968,145 Elm Ridge Dr,145 Elm Ridge Dr,Forest Hill North,TRUE,TCHC,1985,2017,53,9,TCH,2021-04-15,76,76%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.4382999, 43.7025791)",<b>145 Elm Ridge Dr</b><br><b>Built</b>: 1985<br><b>Landlord/Management</b>: TCH<br><b>Units</b>: 53<br><b>RentSafeTO Evaluation</b>: 76%<br><b>Eviction Hearings</b>: 1<br>
4153969,140 Elm Ridge Dr,140 Elm Ridge Dr,Forest Hill North,TRUE,Private,1967,2017,229,18,King's College Management Ltd.,2020-11-01,77,77%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.438615, 43.703082)",<b>140 Elm Ridge Dr</b><br><b>Built</b>: 1967<br><b>Landlord/Management</b>: King's College Management Ltd.<br><b>Units</b>: 229<br><b>RentSafeTO Evaluation</b>: 77%<br>
4153978,680 Roselawn Ave,680 Roselawn Ave,Forest Hill North,TRUE,Private,1965,2017,64,9,O'shanter Development Company,2020-10-28,88,88%,81% to 100%,#e7e1ef,TRUE,2016-05-04,FALSE,NA,NA,FALSE,NA,"c(-79.4253646, 43.7057266)",<b>680 Roselawn Ave</b><br><b>Built</b>: 1965<br><b>Landlord/Management</b>: O'shanter Development Company<br><b>Units</b>: 64<br><b>RentSafeTO Evaluation</b>: 88%<br><b>AGI Application</b>: 2016-05-04<br>
4153431,90 Shuter St,90 Shuter St,Church-Yonge Corridor,TRUE,Social Housing,1983,2017,77,10,Homes First Society,2019-12-03,78,78%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3742818, 43.6554924)",<b>90 Shuter St</b><br><b>Built</b>: 1983<br><b>Landlord/Management</b>: Homes First Society<br><b>Units</b>: 77<br><b>RentSafeTO Evaluation</b>: 78%<br>
4153442,256 Sherbourne St,256 Sherbourne St,Moss Park,TRUE,Private,1955,2019,23,4,Spicecart Property Management,2020-10-28,77,77%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.3715941, 43.6589271)",<b>256 Sherbourne St</b><br><b>Built</b>: 1955<br><b>Landlord/Management</b>: Spicecart Property Management<br><b>Units</b>: 23<br><b>RentSafeTO Evaluation</b>: 77%<br><b>Eviction Hearings</b>: 1<br>
4153448,70 Pembroke St,70 Pembroke St,Moss Park,TRUE,Social Housing,1990,2017,15,3,NA,2020-12-21,67,67%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3728341, 43.6585085)",<b>70 Pembroke St</b><br><b>Built</b>: 1990<br><b>Units</b>: 15<br><b>RentSafeTO Evaluation</b>: 67%<br>
4153450,269 Jarvis St,269 Jarvis St,Moss Park,TRUE,Social Housing,1992,2017,75,9,NA,2019-01-15,78,78%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3746748, 43.6581288)",<b>269 Jarvis St</b><br><b>Built</b>: 1992<br><b>Units</b>: 75<br><b>RentSafeTO Evaluation</b>: 78%<br>
4153454,145 Mutual St,145 Mutual St,Church-Yonge Corridor,TRUE,TCHC,1985,2017,145,15,Greenwin,2020-11-04,73,73%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,2,"c(-79.376307, 43.658987)",<b>145 Mutual St</b><br><b>Built</b>: 1985<br><b>Landlord/Management</b>: Greenwin<br><b>Units</b>: 145<br><b>RentSafeTO Evaluation</b>: 73%<br><b>Eviction Hearings</b>: 2<br>
4153984,650 Briar Hill Ave,650 Briar Hill Ave,Forest Hill North,TRUE,Private,1956,2017,85,9,Glen Corporation,2019-11-21,72,72%,61% to 80%,#c994c7,TRUE,2017-02-17,FALSE,NA,NA,FALSE,NA,"c(-79.4265522, 43.7083531)",<b>650 Briar Hill Ave</b><br><b>Built</b>: 1956<br><b>Landlord/Management</b>: Glen Corporation<br><b>Units</b>: 85<br><b>RentSafeTO Evaluation</b>: 72%<br><b>AGI Application</b>: 2017-02-17<br>
4153985,630 Roselawn Ave,630 Roselawn Ave,Forest Hill North,TRUE,Private,1965,2017,104,9,O'shanter Development Company,2019-11-21,80,80%,61% to 80%,#c994c7,TRUE,"2019-07-09, 2017-06-06",FALSE,NA,NA,FALSE,NA,"c(-79.4226558, 43.7063036)","<b>630 Roselawn Ave</b><br><b>Built</b>: 1965<br><b>Landlord/Management</b>: O'shanter Development Company<br><b>Units</b>: 104<br><b>RentSafeTO Evaluation</b>: 80%<br><b>AGI Application</b>: 2019-07-09, 2017-06-06<br>"
4153986,640 Roselawn Ave,640 Roselawn Ave,Forest Hill North,TRUE,Private,1958,2017,138,8,Greenwin Corp.,2019-11-21,71,71%,61% to 80%,#c994c7,TRUE,2017-03-30,FALSE,NA,NA,TRUE,1,"c(-79.423558, 43.706085)",<b>640 Roselawn Ave</b><br><b>Built</b>: 1958<br><b>Landlord/Management</b>: Greenwin Corp.<br><b>Units</b>: 138<br><b>RentSafeTO Evaluation</b>: 71%<br><b>Eviction Hearings</b>: 1<br><b>AGI Application</b>: 2017-03-30<br>
4153988,2094 Yonge St,2094 Yonge St,Yonge-Eglinton,TRUE,Private,1930,2017,10,3,Trivest Developments,2020-12-04,72,72%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.397675, 43.702279)",<b>2094 Yonge St</b><br><b>Built</b>: 1930<br><b>Landlord/Management</b>: Trivest Developments<br><b>Units</b>: 10<br><b>RentSafeTO Evaluation</b>: 72%<br>
4153998,893 Avenue Rd,893 Avenue Rd,Yonge-Eglinton,TRUE,Private,1960,2017,10,3,Wall Real Estate Limited,2020-11-03,76,76%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4063846, 43.7003946)",<b>893 Avenue Rd</b><br><b>Built</b>: 1960<br><b>Landlord/Management</b>: Wall Real Estate Limited<br><b>Units</b>: 10<br><b>RentSafeTO Evaluation</b>: 76%<br>
4154005,990 Avenue Rd,990 Avenue Rd,Yonge-Eglinton,TRUE,Private,1965,2017,40,4,Cromwell Management Inc.,2019-11-27,86,86%,81% to 100%,#e7e1ef,TRUE,2020-03-06,FALSE,NA,NA,FALSE,NA,"c(-79.4083875, 43.7034115)",<b>990 Avenue Rd</b><br><b>Built</b>: 1965<br><b>Landlord/Management</b>: Cromwell Management Inc.<br><b>Units</b>: 40<br><b>RentSafeTO Evaluation</b>: 86%<br><b>AGI Application</b>: 2020-03-06<br>
4154011,118 Montgomery Ave,118 Montgomery Ave,Yonge-Eglinton,TRUE,Private,1952,2017,109,3,Crestview Investment,2019-11-21,77,77%,61% to 80%,#c994c7,TRUE,2016-08-03,FALSE,NA,NA,FALSE,NA,"c(-79.4026217, 43.7094995)",<b>118 Montgomery Ave</b><br><b>Built</b>: 1952<br><b>Landlord/Management</b>: Crestview Investment<br><b>Units</b>: 109<br><b>RentSafeTO Evaluation</b>: 77%<br><b>AGI Application</b>: 2016-08-03<br>
4154014,20 Roselawn Ave,20 Roselawn Ave,Yonge-Eglinton,TRUE,Private,1950,2017,12,3,Amira Talaat,2020-11-23,74,74%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4000414, 43.7110704)",<b>20 Roselawn Ave</b><br><b>Built</b>: 1950<br><b>Landlord/Management</b>: Amira Talaat<br><b>Units</b>: 12<br><b>RentSafeTO Evaluation</b>: 74%<br>
4153460,25 Elm St,25 Elm St,Bay Street Corridor,TRUE,TCHC,1985,2017,101,16,NA,2020-11-27,88,88%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3829341, 43.657363)",<b>25 Elm St</b><br><b>Built</b>: 1985<br><b>Units</b>: 101<br><b>RentSafeTO Evaluation</b>: 88%<br>
4153470,1 Homewood Ave,1 Homewood Ave,Cabbagetown-South St.James Town,TRUE,Private,1940,2017,67,4,North 44,2020-11-12,73,73%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.374198, 43.6632565)",<b>1 Homewood Ave</b><br><b>Built</b>: 1940<br><b>Landlord/Management</b>: North 44<br><b>Units</b>: 67<br><b>RentSafeTO Evaluation</b>: 73%<br><b>Eviction Hearings</b>: 1<br>
4153478,330 Jarvis St,330 Jarvis St,Church-Yonge Corridor,TRUE,TCHC,1995,2017,82,10,NA,2019-12-10,86,86%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3770991, 43.6625983)",<b>330 Jarvis St</b><br><b>Built</b>: 1995<br><b>Units</b>: 82<br><b>RentSafeTO Evaluation</b>: 86%<br>
4153494,54 Maitland St,54 Maitland St,Church-Yonge Corridor,TRUE,Private,1927,2017,45,4,Akelius Canada Ltd,2019-12-03,89,89%,81% to 100%,#e7e1ef,TRUE,2017-03-14,TRUE,2018,1.05%,FALSE,NA,"c(-79.3814868, 43.6647688)",<b>54 Maitland St</b><br><b>Built</b>: 1927<br><b>Landlord/Management</b>: Akelius Canada Ltd<br><b>Units</b>: 45<br><b>RentSafeTO Evaluation</b>: 89%<br><b>AGI Application</b>: 2017-03-14<br><b>Tenant Defence Fund Received</b>: 2018<br><b>TDF Reduced Increase By</b>: 1.05%<br>
4154019,2730 Yonge St,2730 Yonge St,Lawrence Park South,TRUE,Private,1954,2017,63,7,Pinedale Properties Ltd,2020-11-10,90,90%,81% to 100%,#e7e1ef,TRUE,2018-11-16,FALSE,NA,NA,TRUE,1,"c(-79.4010373, 43.7180383)",<b>2730 Yonge St</b><br><b>Built</b>: 1954<br><b>Landlord/Management</b>: Pinedale Properties Ltd<br><b>Units</b>: 63<br><b>RentSafeTO Evaluation</b>: 90%<br><b>Eviction Hearings</b>: 1<br><b>AGI Application</b>: 2018-11-16<br>
4154023,2914 Yonge St,2914 Yonge St,Lawrence Park South,TRUE,Private,1929,2017,46,5,Rpms,2019-11-20,80,80%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.401888, 43.72217)",<b>2914 Yonge St</b><br><b>Built</b>: 1929<br><b>Landlord/Management</b>: Rpms<br><b>Units</b>: 46<br><b>RentSafeTO Evaluation</b>: 80%<br>
4154039,516 Dawes Rd,516 Dawes Rd,O'Connor-Parkview,TRUE,Private,1953,2017,46,4,NA,2020-12-08,69,69%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.2968165, 43.7048531)",<b>516 Dawes Rd</b><br><b>Built</b>: 1953<br><b>Units</b>: 46<br><b>RentSafeTO Evaluation</b>: 69%<br>
4153501,100 Maitland St,100 Maitland St,Church-Yonge Corridor,TRUE,Private,1965,2017,102,18,Westdale Properties,2019-12-03,84,84%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.379657, 43.665064)",<b>100 Maitland St</b><br><b>Built</b>: 1965<br><b>Landlord/Management</b>: Westdale Properties<br><b>Units</b>: 102<br><b>RentSafeTO Evaluation</b>: 84%<br>
4153508,100 Wellesley St E,100 Wellesley St E,Church-Yonge Corridor,TRUE,Private,1968,2017,427,28,Capreit,2020-11-17,81,81%,81% to 100%,#e7e1ef,TRUE,"2017-02-16, 2016-04-26",FALSE,NA,NA,FALSE,NA,"c(-79.379187, 43.666544)","<b>100 Wellesley St E</b><br><b>Built</b>: 1968<br><b>Landlord/Management</b>: Capreit<br><b>Units</b>: 427<br><b>RentSafeTO Evaluation</b>: 81%<br><b>AGI Application</b>: 2017-02-16, 2016-04-26<br>"
4153513,64 Wellesley St E,64 Wellesley St E,Church-Yonge Corridor,TRUE,Private,1929,2017,60,5,NA,2020-11-18,69,69%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.38177, 43.665863)",<b>64 Wellesley St E</b><br><b>Built</b>: 1929<br><b>Units</b>: 60<br><b>RentSafeTO Evaluation</b>: 69%<br>
4153517,55 Charles St W,55 Charles St W,Bay Street Corridor,TRUE,Private,1981,2017,147,32,Azuria Group Incorporated,2019-11-27,87,87%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.389038, 43.667705)",<b>55 Charles St W</b><br><b>Built</b>: 1981<br><b>Landlord/Management</b>: Azuria Group Incorporated<br><b>Units</b>: 147<br><b>RentSafeTO Evaluation</b>: 87%<br>
